id,responsable
P001,Martín
P001,Alejandra
P001,Maricarmen
P002,Maricarmen
P002,Gaby
P002,Gonzalo
P002,Alejandra
P003,Maricarmen
P004,Maricarmen
P005,Fernando
P006,Fernando
P007,Alejandra
P007,Maricarmen
P007,Ana
P007,Martín
P008,Martín
P008,Maricarmen
P008,Ana
P009,Alejandra
P009,Maricarmen
P010,Maricarmen
P010,Gaby
P010,Víctor
P011,Ana
P011,Gonzalo
P011,Fernando
P011,Martín
P011,Jesús
P012,Martín
P012,Gonzalo
P012,Víctor
P012,Fernando
P012,Miguel
P012,Alejandra
P012,Jesús
P012,Ana
P013,Miguel
P013,Alfredo
P013,Víctor
P013,Martín
P013,Gaby
P013,Alejandra
P014,Ana
P014,Maricarmen
P015,Maricarmen
P016,Fernando
P016,Martín
P016,Víctor
P017,Maricarmen
P018,Maricarmen
P019,Martín
P019,Gaby
P020,Martín
P020,Gonzalo
P021,Martín
P021,Maricarmen
P022,Fernando
P023,Alejandro
P023,Maricarmen
P024,Gonzalo
P025,Maricarmen
P026,Maricarmen
P027,Víctor
P028,Maricarmen
P028,Gonzalo
P028,Ana
P029,Ana
P029,Maricarmen
P030,Gonzalo
P031,Martín
P031,Gonzalo
P032,Gaby
P032,Fernando
P033,Gaby
P033,Alejandra
P033,Ana
P033,Fernando
P033,Martín
P034,Maricarmen
