id,responsable
P001,Martín
P001,Alejandra
P001,Maricarmen
P001,Jorge
P002,Maricarmen
P003,Maricarmen
P004,Maricarmen
P005,Fernando
P006,Alejandra
P006,Maricarmen
P006,Ana
P006,Martín
P007,Martín
P007,Maricarmen
P007,Ana
P008,Alejandra
P008,Maricarmen
P009,Maricarmen
P009,Gaby
P010,Ana
P010,Gonzalo
P010,Fernando
P010,Martín
P010,Jesús
P011,Martín
P011,Gonzalo
P011,Víctor
P011,Fernando
P011,Miguel
P011,Alejandra
P011,Jesús
P012,Miguel
P012,Alfredo
P012,Víctor
P012,Martín
P012,Gaby
P013,Ana
P013,Maricarmen
P013,Víctor
P014,Maricarmen
P015,Maricarmen
P016,Maricarmen
P017,Martín
P017,Gaby
P018,Martín
P018,Gonzalo
P019,Martín
P019,Maricarmen
P020,Fernando
P021,Alejandro
P021,Maricarmen
P022,Gonzalo
P023,Maricarmen
P024,Maricarmen
P025,Víctor
P026,Maricarmen
P026,Gonzalo
P026,Ana
P027,Ana
P027,Maricarmen
P028,Gonzalo
P029,Martín
P029,Gonzalo
P030,Gaby
P030,Fernando
P031,Gaby
P031,Alejandra
P031,Ana
P031,Fernando
P031,Martín
P032,Maricarmen
